,0
0,New Mexico
1,Utah
2,Washington
3,Georgia
4,Idaho
5,Connecticut
6,Kentucky
7,Illinois
8,Missouri
9,Rhode Island
10,Texas
11,Colorado
12,Montana
13,Arkansas
14,Virginia
15,Arizona
16,Oregon
17,Delaware
18,North Carolina
19,Vermont
20,Kansas
21,Nebraska
22,Massachusetts
23,Iowa
24,Alaska
25,Hawaii
26,California
27,Maine
28,New Hampshire
29,South Carolina
30,Tennessee
31,Florida
32,Minnesota
33,North Dakota
34,South Dakota
35,Wisconsin
36,Pennsylvania
37,Louisiana
38,Alabama
39,Wyoming
40,West Virginia
41,Mississippi
42,Nevada
43,Indiana
44,Oklahoma
45,Maryland
